2	48	4.63	43.96
2	49	4.56	44.91
2	50	4.49	45.87
2	51	4.42	46.83
2	52	4.34	47.79
2	53	4.27	48.75
2	54	4.19	49.71
2	55	4.12	50.67
2	56	4.04	51.63
2	57	3.97	52.6
2	58	3.89	53.56
2	59	3.81	54.53
2	60	3.73	55.5
2	61	3.65	56.47
2	62	3.58	57.44
2	63	3.5	58.42
2	64	3.42	59.39
2	65	3.34	60.37
2	66	3.25	61.34
2	67	3.17	62.32
2	68	3.09	63.3
2	69	3.01	64.29
2	70	2.93	65.27
2	71	2.84	66.25
2	72	2.76	67.24
2	73	2.68	68.23
2	74	2.59	69.22
2	75	2.51	70.21
2	76	2.43	71.2
2	77	2.34	72.19
2	78	2.26	73.19
2	79	2.17	74.18
2	80	2.09	75.18
2	81	2.01	76.18
2	82	1.92	77.18
2	83	1.84	78.18
2	84	1.75	79.19
2	85	1.67	80.19
2	86	1.59	81.2
2	87	1.5	82.2
2	88	1.42	83.21
2	89	1.34	84.22
2	90	1.25	85.24
2	91	1.17	86.25
2	92	1.09	87.27
2	93	1	88.28
2	94	0.92	89.3
2	95	0.84	90.32
2	96	0.76	91.34
2	97	0.68	92.36
2	98	0.6	93.39
2	99	0.52	94.41
2	100	0.44	95.44
2	101	0.36	96.47
2	102	0.28	97.5
2	103	0.2	98.53
2	104	0.12	99.56
2	105	0.04	100.59
2	106	-0.03	101.63
2	107	-0.11	102.66
2	108	-0.18	103.7
2	109	-0.26	104.74
2	110	-0.33	105.78
2	111	-0.4	106.82
2	112	-0.48	107.86
2	113	-0.55	108.91
2	114	-0.62	109.95
2	115	-0.69	111
2	116	-0.76	112.05
2	117	-0.83	113.1
2	118	-0.9	114.15
2	119	-0.96	115.2
2	120	-1.03	116.25
2	121	-1.09	117.3
2	122	-1.16	118.36
2	123	-1.22	119.41
2	124	-1.28	120.47
2	125	-1.34	121.53
2	126	-1.4	122.59
2	127	-1.46	123.65
2	128	-1.52	124.71
2	129	-1.58	125.77
2	130	-1.63	126.83
2	131	-1.69	127.9
2	132	-1.74	128.96
2	133	-1.8	130.03
